@relation train-weka.filters.unsupervised.instance.RemoveWithValues-S392.0-Cfirst-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S391.0-Cfirst-Lfirst-last

@attribute DayOfWeek numeric
@attribute Date date yyyy-MM-dd
@attribute Sales numeric
@attribute Customers numeric
@attribute Open numeric
@attribute Promo numeric
@attribute StateHoliday string
@attribute SchoolHoliday numeric

@data
2,2013-01-01,0,0,0,0,a,1
3,2013-01-02,5033,668,1,0,0,1
4,2013-01-03,4837,612,1,0,0,1
5,2013-01-04,5155,706,1,0,0,1
6,2013-01-05,2914,373,1,0,0,0
7,2013-01-06,0,0,0,0,0,0
1,2013-01-07,8086,934,1,1,0,0
2,2013-01-08,6838,847,1,1,0,0
3,2013-01-09,5142,616,1,1,0,0
4,2013-01-10,5807,730,1,1,0,0
5,2013-01-11,6026,764,1,1,0,0
6,2013-01-12,2561,360,1,0,0,0
7,2013-01-13,0,0,0,0,0,0
1,2013-01-14,4816,681,1,0,0,0
2,2013-01-15,4203,630,1,0,0,0
3,2013-01-16,4006,531,1,0,0,0
4,2013-01-17,4234,597,1,0,0,0
5,2013-01-18,4405,646,1,0,0,0
6,2013-01-19,2785,346,1,0,0,0
7,2013-01-20,0,0,0,0,0,0
1,2013-01-21,8117,903,1,1,0,0
2,2013-01-22,6582,815,1,1,0,0
3,2013-01-23,5527,666,1,1,0,0
4,2013-01-24,5531,685,1,1,0,0
5,2013-01-25,5898,720,1,1,0,0
6,2013-01-26,2897,387,1,0,0,0
7,2013-01-27,0,0,0,0,0,0
1,2013-01-28,4683,663,1,0,0,0
2,2013-01-29,4034,548,1,0,0,0
3,2013-01-30,4246,560,1,0,0,0
4,2013-01-31,5935,738,1,0,0,0
5,2013-02-01,5871,763,1,0,0,0
6,2013-02-02,3527,438,1,0,0,0
7,2013-02-03,0,0,0,0,0,0
1,2013-02-04,8996,985,1,1,0,0
2,2013-02-05,7385,871,1,1,0,0
3,2013-02-06,5335,660,1,1,0,0
4,2013-02-07,5825,746,1,1,0,0
5,2013-02-08,6224,772,1,1,0,0
6,2013-02-09,2465,350,1,0,0,0
